丹佛小镇  | 3室1厅 | 77.06平米 | 南 北 | 简装 | 有电梯,高楼层(共11层)2009年建板楼  -  将军大道,189万单价24527元/平米,https://nj.lianjia.com/xiaoqu/1411050279764/
科巷新寓  | 2室2厅 | 71.1平米 | 东 西 北 | 简装 | 有电梯,中楼层(共35层)1998年建塔楼  -  五老村,200万单价28130元/平米,https://nj.lianjia.com/xiaoqu/1411000000416/
万达紫金明珠  | 2室2厅 | 84.45平米 | 南 北 | 精装 | 有电梯,中楼层(共9层)2005年建板楼  -  月牙湖,230万单价27236元/平米,https://nj.lianjia.com/xiaoqu/1411046463725/
兆园  | 2室1厅 | 65.34平米 | 南 北 | 精装 | 无电梯,高楼层(共7层)1998年建板楼  -  茶南,186万单价28467元/平米,https://nj.lianjia.com/xiaoqu/1411000000901/
公教一村  | 3室1厅 | 84.95平米 | 南 北 | 简装 | 无电梯,中楼层(共5层)1988年建板楼  -  北京东路,610万单价71807元/平米,https://nj.lianjia.com/xiaoqu/1411000000200/
名嘉佳园小区  | 3室1厅 | 87.09平米 | 南 北 | 精装 | 有电梯,高楼层(共10层)2006年建板楼  -  岔路口,235万单价26984元/平米,https://nj.lianjia.com/xiaoqu/2511053036467/
云锦美地绮云居  | 2室2厅 | 85.76平米 | 南 北 | 精装 | 无电梯,低楼层(共5层)2003年建板楼  -  南湖,343万单价39996元/平米,https://nj.lianjia.com/xiaoqu/1411000000833/
新城市广场  | 3室1厅 | 57.76平米 | 南 | 精装 | 有电梯,中楼层(共18层)2005年建塔楼  -  龙江,300万单价51940元/平米,https://nj.lianjia.com/xiaoqu/1411000000721/
水月秦淮  | 3室2厅 | 104.29平米 | 南 北 | 简装 | 有电梯,中楼层(共10层)2007年建塔楼  -  百家湖,293万单价28095元/平米,https://nj.lianjia.com/xiaoqu/2511051666116/
天润城第六街区  | 2室2厅 | 93.17平米 | 南 北 | 简装 | 无电梯,中楼层(共6层)2006年建板楼  -  桥北,186万单价19964元/平米,https://nj.lianjia.com/xiaoqu/1420024863247415/
银城东苑东篱苑  | 2室2厅 | 102.3平米 | 南 | 简装 | 有电梯,高楼层(共22层)2006年建板楼  -  卫岗,420万单价41056元/平米,https://nj.lianjia.com/xiaoqu/1411046500482/
后标营50号  | 2室1厅 | 73.3平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1998年建板塔结合  -  瑞金路,205万单价27968元/平米,https://nj.lianjia.com/xiaoqu/1411000000230/
瑞金路10号  | 3室1厅 | 75.31平米 | 南 | 简装 | 无电梯,高楼层(共7层)1984年建板楼  -  瑞金路,208万单价27620元/平米,https://nj.lianjia.com/xiaoqu/1411045031770/
天润城第十四街区  | 3室2厅 | 86.47平米 | 南 西 | 简装 | 有电梯,中楼层(共18层)2012年建板楼  -  桥北,190万单价21973元/平米,https://nj.lianjia.com/xiaoqu/2511052774266/
康博花园  | 3室2厅 | 132.64平米 | 南 北 | 精装 | 有电梯,中楼层(共11层)2010年建板塔结合  -  九龙湖,360万单价27142元/平米,https://nj.lianjia.com/xiaoqu/2511052646012/
康博花园  | 3室2厅 | 124.33平米 | 南 北 | 精装 | 有电梯,低楼层(共11层)2010年建板塔结合  -  九龙湖,340万单价27347元/平米,https://nj.lianjia.com/xiaoqu/2511052646012/
彩虹苑  | 4室3厅 | 97.83平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2000年建板楼  -  南湖,313万单价31995元/平米,https://nj.lianjia.com/xiaoqu/1411000000067/
东郊小镇第六街区  | 2室1厅 | 77.57平米 | 南 北 | 毛坯 | 无电梯,高楼层(共6层)2010年建板楼  -  麒麟镇,147万单价18951元/平米,https://nj.lianjia.com/xiaoqu/2511053015469/
骏景华庭  | 2室2厅 | 85.32平米 | 南 | 精装 | 有电梯,中楼层(共18层)2010年建塔楼  -  九龙湖,268万单价31412元/平米,https://nj.lianjia.com/xiaoqu/1411063178625/
左邻右里  | 2室1厅 | 89.78平米 | 南 北 | 其他 | 有电梯,中楼层(共11层)2010年建板楼  -  岔路口,285万单价31745元/平米,https://nj.lianjia.com/xiaoqu/1411099402978/
东渡国际青年城  | 2室1厅 | 76.03平米 | 南 | 精装 | 有电梯,中楼层(共25层)2009年建板塔结合  -  东山镇,220万单价28936元/平米,https://nj.lianjia.com/xiaoqu/1411041414549/
御水湾花园  | 2室2厅 | 93.33平米 | 南 北 | 精装 | 无电梯,低楼层(共6层)2005年建板楼  -  光华路,360万单价38573元/平米,https://nj.lianjia.com/xiaoqu/1411046168785/
嘉业阳光城云景苑二期  | 3室2厅 | 138.36平米 | 南 北 | 精装 | 有电梯,低楼层(共15层)2009年建板楼  -  奥体,660万单价47702元/平米,https://nj.lianjia.com/xiaoqu/1411000000405/
大华锦绣华城桂美颂  | 4室2厅 | 140.04平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2005年建板楼  -  桥北,290万单价20709元/平米,https://nj.lianjia.com/xiaoqu/2511052747753/
文博苑  | 4室2厅 | 134.29平米 | 南 北 | 精装 | 有电梯,高楼层(共11层)2010年建板楼  -  江宁大学城,350万单价26063元/平米,https://nj.lianjia.com/xiaoqu/1411100628371/
龙湖文馨苑  | 3室2厅 | 133.09平米 | 南 北 | 其他 | 有电梯,中楼层(共11层)2007年建板楼  -  九龙湖,345万单价25923元/平米,https://nj.lianjia.com/xiaoqu/2511052651713/
天地新城天心座  | 5室2厅 | 116.83平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2006年建板塔结合  -  岔路口,290万单价24823元/平米,https://nj.lianjia.com/xiaoqu/1412024341607012/
天堂街  | 2室1厅 | 55.73平米 | 南 | 精装 | 无电梯,低楼层(共7层)1990年建板楼  -  新街口,183万单价32837元/平米,https://nj.lianjia.com/xiaoqu/1411099970098/
大华锦绣华城香榭美颂  | 2室2厅 | 89.47平米 | 南 | 精装 | 有电梯,中楼层(共18层)2012年建板楼  -  桥北,225万单价25149元/平米,https://nj.lianjia.com/xiaoqu/2511052776240/
琥珀巷高层小区  | 2室1厅 | 71.23平米 | 南 北 | 精装 | 有电梯,中楼层(共24层)1998年建塔楼  -  建康路,225万单价31588元/平米,https://nj.lianjia.com/xiaoqu/1411041184598/
武夷绿洲品茗苑  | 3室2厅 | 128.61平米 | 南 北 | 精装 | 有电梯,低楼层(共17层)2010年建板楼  -  科学园,338万单价26282元/平米,https://nj.lianjia.com/xiaoqu/2511051361657/
罗廊巷  | 2室1厅 | 51.01平米 | 东 南 西 | 精装 | 有电梯,高楼层(共7层)1989年建板楼  -  朝天宫,154.8万单价30347元/平米,https://nj.lianjia.com/xiaoqu/1411046540272/
文化名园云水苑  | 4室2厅 | 190.44平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2003年建板楼  -  百家湖,540万单价28356元/平米,https://nj.lianjia.com/xiaoqu/1411063879649/
话园  | 2室1厅 | 62.82平米 | 南 北 | 其他 | 无电梯,低楼层(共6层)1994年建板楼  -  南苑,182万单价28972元/平米,https://nj.lianjia.com/xiaoqu/1411000000307/
万达紫金明珠  | 2室1厅 | 84.69平米 | 南 北 | 精装 | 有电梯,低楼层(共9层)2005年建板楼  -  月牙湖,268万单价31645元/平米,https://nj.lianjia.com/xiaoqu/1411046463725/
经纬城市花园小区  | 3室2厅 | 87.25平米 | 南 北 | 精装 | 无电梯,低楼层(共6层)2003年建板塔结合  -  岔路口,219万单价25101元/平米,https://nj.lianjia.com/xiaoqu/2511053033458/
南方花园瑞阳居  | 2室2厅 | 50.32平米 | 东 | 其他 | 有电梯,中楼层(共10层)2009年建塔楼  -  岔路口,161万单价31996元/平米,https://nj.lianjia.com/xiaoqu/146669451670311/
天地新城天心座  | 2室2厅 | 87.39平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2006年建板塔结合  -  岔路口,222万单价25404元/平米,https://nj.lianjia.com/xiaoqu/1412024341607012/
紫鑫中华广场  | 3室2厅 | 112.29平米 | 南 北 | 精装 | 有电梯,中楼层(共18层)2005年建板楼  -  兴隆大街,505万单价44973元/平米,https://nj.lianjia.com/xiaoqu/1411000000899/
景明佳园谐景苑  | 2室1厅 | 70.42平米 | 南 北 | 简装 | 无电梯,中楼层(共6层)1999年建板塔结合  -  宁南,172万单价24425元/平米,https://nj.lianjia.com/xiaoqu/1411047792428/
雨花新村四村  | 2室1厅 | 61.68平米 | 南 | 其他 | 无电梯,低楼层(共6层)1986年建板楼  -  雨花新村,157万单价25454元/平米,https://nj.lianjia.com/xiaoqu/2511051968850/
黑龙江路11号  | 2室1厅 | 68.54平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1998年建板楼  -  许府巷,170万单价24804元/平米,https://nj.lianjia.com/xiaoqu/1411043367156/
贡园  | 3室2厅 | 63.86平米 | 南 北 | 简装 | 无电梯,高楼层(共6层)1999年建板楼  -  南苑,203万单价31789元/平米,https://nj.lianjia.com/xiaoqu/1411000000213/
亚东城东区  | 4室2厅 | 146.3平米 | 南 | 精装 | 有电梯,高楼层(共9层)2007年建板楼  -  仙林,565万单价38620元/平米,https://nj.lianjia.com/xiaoqu/2511051431692/
嘉业国际城  | 1室1厅 | 55.97平米 | 东 | 精装 | 有电梯,中楼层(共27层)2008年建塔楼  -  奥体,230万单价41094元/平米,https://nj.lianjia.com/xiaoqu/1411000000404/
凤凰街84号  | 2室0厅 | 54.28平米 | 西南 | 精装 | 无电梯,高楼层(共6层)1984年建板楼  -  汉中门大街,230万单价42373元/平米,https://nj.lianjia.com/xiaoqu/1411000000158/
象房村  | 2室1厅 | 58.17平米 | 南 北 | 精装 | 无电梯,低楼层(共5层)2003年建板楼  -  光华路,173万单价29741元/平米,https://nj.lianjia.com/xiaoqu/1411043491042/
明园  | 2室1厅 | 63.07平米 | 南 北 | 精装 | 无电梯,低楼层(共6层)1996年建板楼  -  茶南,198万单价31394元/平米,https://nj.lianjia.com/xiaoqu/1411000000496/
拓园  | 2室1厅 | 51.08平米 | 西 | 精装 | 无电梯,中楼层(共7层)1996年建板楼  -  茶南,153万单价29954元/平米,https://nj.lianjia.com/xiaoqu/1411000000670/
滨江奥城观澜苑  | 3室2厅 | 119.91平米 | 南 北 | 精装 | 有电梯,高楼层(共11层)2008年建板楼  -  奥体,490万单价40864元/平米,https://nj.lianjia.com/xiaoqu/1411000000022/
彩虹苑  | 3室1厅 | 90.19平米 | 南 北 | 精装 | 无电梯,中楼层(共7层)2000年建板楼  -  南湖,293万单价32487元/平米,https://nj.lianjia.com/xiaoqu/1411000000067/
天润城第十三街区  | 3室2厅 | 85.19平米 | 南 北 | 简装 | 有电梯,中楼层(共11层)2009年建板楼  -  桥北,188万单价22069元/平米,https://nj.lianjia.com/xiaoqu/1411099793762/
拓园  | 2室1厅 | 51.08平米 | 西 | 精装 | 无电梯,中楼层(共7层)1996年建板楼  -  茶南,153万单价29954元/平米,https://nj.lianjia.com/xiaoqu/1411000000670/
诚品城  | 3室2厅 | 98.84平米 | 南 北 | 毛坯 | 无电梯,高楼层(共6层)2009年建板楼  -  仙林,240万单价24282元/平米,https://nj.lianjia.com/xiaoqu/2511051425261/
天润城第十街区  | 3室2厅 | 125.8平米 | 南 | 毛坯 | 有电梯,高楼层(共18层)2009年建板楼  -  桥北,260万单价20668元/平米,https://nj.lianjia.com/xiaoqu/2511052832045/
时光澔韵  | 3室2厅 | 125平米 | 南 北 | 精装 | 有电梯,中楼层(共18层)2010年建板楼  -  小行,437.5万单价35000元/平米,https://nj.lianjia.com/xiaoqu/1411042942570/
仁恒翠竹园  | 3室2厅 | 130.93平米 | 南 北 | 精装 | 有电梯,中楼层(共10层)2006年建板楼  -  宁南,530万单价40480元/平米,https://nj.lianjia.com/xiaoqu/1411046392500/
良城美景家园  | 3室2厅 | 108.83平米 | 南 北 | 精装 | 有电梯,中楼层(共11层)2005年建板楼  -  秦虹,348万单价31977元/平米,https://nj.lianjia.com/xiaoqu/1411046211097/
亚东城东区  | 3室2厅 | 131.61平米 | 南 北 | 毛坯 | 有电梯,高楼层(共16层)2007年建塔楼  -  仙林,430万单价32673元/平米,https://nj.lianjia.com/xiaoqu/2511051431692/
南京恒大绿洲  | 2室2厅 | 89.42平米 | 南 | 精装 | 有电梯,中楼层(共11层)2009年建板楼  -  九龙湖,260万单价29077元/平米,https://nj.lianjia.com/xiaoqu/2511051684175/
晏公庙西村  | 3室1厅 | 73.83平米 | 南 北 | 其他 | 无电梯,中楼层(共6层)1988年建板楼  -  孝陵卫,210万单价28444元/平米,https://nj.lianjia.com/xiaoqu/1411047236127/
万科金域蓝湾  | 3室2厅 | 134.94平米 | 南 北 | 精装 | 有电梯,低楼层(共18层)2010年建塔楼  -  九龙湖,480万单价35572元/平米,https://nj.lianjia.com/xiaoqu/1411041487932/
金陵御沁园  | 3室2厅 | 131.1平米 | 南 | 精装 | 有电梯,中楼层(共11层)2004年建板塔结合  -  龙江,525万单价40046元/平米,https://nj.lianjia.com/xiaoqu/1411000000375/
琥珀巷高层小区  | 2室1厅 | 56.25平米 | 东 | 简装 | 有电梯,高楼层(共24层)1998年建塔楼  -  建康路,138万单价24534元/平米,https://nj.lianjia.com/xiaoqu/1411041184598/
成贤公寓  | 3室2厅 | 117.63平米 | 南 北 | 简装 | 有电梯,中楼层(共11层)2000年建塔楼  -  珠江路,550万单价46757元/平米,https://nj.lianjia.com/xiaoqu/1411042989626/
合家春天  | 4室2厅 | 138.96平米 | 南 北 | 毛坯 | 有电梯,高楼层(共10层)2009年建板塔结合  -  九龙湖,315万单价22669元/平米,https://nj.lianjia.com/xiaoqu/2511051679311/
观城  | 3室2厅 | 103.49平米 | 东 南 北 | 精装 | 有电梯,低楼层(共25层)2009年建塔楼  -  升州路,530万单价51213元/平米,https://nj.lianjia.com/xiaoqu/1411000000194/
东城雅筑  | 3室2厅 | 120.88平米 | 南 | 精装 | 有电梯,高楼层(共11层)2008年建板塔结合  -  光华路,399万单价33008元/平米,https://nj.lianjia.com/xiaoqu/1411046465488/
雯锦雅苑  | 3室2厅 | 116.18平米 | 南 北 | 其他 | 有电梯,高楼层(共11层)2005年建板塔结合  -  月苑,345万单价29696元/平米,https://nj.lianjia.com/xiaoqu/1411063687611/
沿河三村  | 2室1厅 | 56.46平米 | 南 北 | 简装 | 无电梯,中楼层(共6层)1990年建板塔结合  -  南湖,165万单价29225元/平米,https://nj.lianjia.com/xiaoqu/1411000000813/
南方花园C组团  | 3室2厅 | 111.09平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2003年建板楼  -  岔路口,285万单价25655元/平米,https://nj.lianjia.com/xiaoqu/2511053037878/
托乐嘉旺邻居  | 2室1厅 | 73.62平米 | 南 北 | 精装,高楼层(共13层)2015年建板楼  -  将军大道,265万单价35996元/平米,https://nj.lianjia.com/xiaoqu/1411049363601/
雅居乐花园  | 2室1厅 | 52.65平米 | 北 | 简装 | 有电梯,中楼层(共11层)2010年建板塔结合  -  秦虹,188万单价35708元/平米,https://nj.lianjia.com/xiaoqu/1411043590236/
丽景华庭  | 3室2厅 | 100.45平米 | 南 北 | 精装 | 有电梯,低楼层(共10层)2004年建板塔结合  -  洪家园,331万单价32952元/平米,https://nj.lianjia.com/xiaoqu/1411046918168/
市政天元城  | 3室2厅 | 118.65平米 | 南 北 | 精装 | 有电梯,中楼层(共11层)2004年建板楼  -  东山镇,330万单价27813元/平米,https://nj.lianjia.com/xiaoqu/2511050946111/
秦淮教师公寓  | 2室1厅 | 61.48平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1999年建板楼  -  洪家园,190万单价30905元/平米,https://nj.lianjia.com/xiaoqu/2511051952479/
托乐嘉友邻居  | 3室2厅 | 136.72平米 | 南 北 | 其他 | 有电梯,高楼层(共11层)2009年建板楼  -  将军大道,368万单价26917元/平米,https://nj.lianjia.com/xiaoqu/1411049361828/
诚品城  | 3室2厅 | 98.73平米 | 南 北 | 精装 | 无电梯,中楼层(共6层)2009年建板楼  -  仙林,270万单价27348元/平米,https://nj.lianjia.com/xiaoqu/2511051425261/
露园  | 2室1厅 | 49.94平米 | 南 北 | 简装 | 无电梯,中楼层(共6层)1994年建板楼  -  茶南,155万单价31038元/平米,https://nj.lianjia.com/xiaoqu/1411000000453/
新城市广场  | 3室2厅 | 57.9平米 | 南 | 精装 | 有电梯,高楼层(共18层)2005年建塔楼  -  龙江,305万单价52678元/平米,https://nj.lianjia.com/xiaoqu/1411000000721/
佳盛花园  | 2室2厅 | 86.96平米 | 南 | 简装 | 无电梯,低楼层(共7层)1999年建板塔结合  -  热河南路,280万单价32199元/平米,https://nj.lianjia.com/xiaoqu/1411000000391/
江岸水城  | 3室2厅 | 100.04平米 | 南 北 | 精装 | 有电梯,低楼层(共9层)2009年建板楼  -  桥北,194万单价19393元/平米,https://nj.lianjia.com/xiaoqu/2511053237258/
天悦花园  | 2室2厅 | 79.62平米 | 南 | 精装 | 无电梯,中楼层(共6层)2003年建板楼  -  马群,243万单价30520元/平米,https://nj.lianjia.com/xiaoqu/1411058127070/
金马郦城西区  | 3室2厅 | 133.87平米 | 南 北 | 精装 | 无电梯,中楼层(共5层)2005年建板楼  -  奥体,575万单价42953元/平米,https://nj.lianjia.com/xiaoqu/1411000000376/
五十五所宿舍区  | 2室1厅 | 85.91平米 | 南 北 | 精装 | 有电梯,低楼层(共11层)2005年建板塔结合  -  瑞金路,305万单价35503元/平米,https://nj.lianjia.com/xiaoqu/1411044854863/
东郊小镇第六街区  | 3室2厅 | 90.17平米 | 南 | 简装 | 无电梯,低楼层(共6层)2010年建板楼  -  麒麟镇,180万单价19963元/平米,https://nj.lianjia.com/xiaoqu/2511053015469/
诚品城  | 3室2厅 | 98.84平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2009年建板楼  -  仙林,275万单价27823元/平米,https://nj.lianjia.com/xiaoqu/2511051425261/
枫丹白露白露新寓  | 3室2厅 | 155.54平米 | 南 北 | 简装 | 有电梯,高楼层(共18层)2004年建板楼  -  秦虹,548万单价35233元/平米,https://nj.lianjia.com/xiaoqu/1411043549732/
幕府佳园  | 2室1厅 | 92.74平米 | 南 | 精装 | 有电梯,高楼层(共11层)2006年建板楼  -  金陵小区,240万单价25879元/平米,https://nj.lianjia.com/xiaoqu/1411000000484/
洪武高层  | 2室1厅 | 67.83平米 | 南 西 | 其他 | 有电梯,中楼层(共25层)1996年建板楼  -  新街口,238万单价35088元/平米,https://nj.lianjia.com/xiaoqu/1411062466589659/
云锦美地碧云居  | 3室2厅 | 101.5平米 | 南 北 | 简装 | 有电梯,低楼层(共11层)2005年建板楼  -  南湖,436万单价42956元/平米,https://nj.lianjia.com/xiaoqu/1411000000828/
金基汇锦国际  | 2室2厅 | 48.95平米 | 南 北 | 精装 | 有电梯,高楼层(共12层)2009年建板塔结合  -  奥体,290万单价59245元/平米,https://nj.lianjia.com/xiaoqu/1411000000250/
普华巷  | 2室1厅 | 68.86平米 | 南 北 | 精装 | 无电梯,中楼层(共7层)1987年建板塔结合  -  五老村,272万单价39501元/平米,https://nj.lianjia.com/xiaoqu/1411041190351/
中海凯旋门  | 2室1厅 | 72.1平米 | 西南 | 其他 | 有电梯,中楼层(共24层)2010年建板楼  -  福建路,255万单价35368元/平米,https://nj.lianjia.com/xiaoqu/1411046917350/
明月港湾旭日湾  | 3室2厅 | 104.93平米 | 南 北 | 精装 | 无电梯,低楼层(共6层)2005年建板楼  -  岔路口,275万单价26208元/平米,https://nj.lianjia.com/xiaoqu/1420023315880223/
营苑西村  | 3室1厅 | 75.36平米 | 南 北 | 简装 | 无电梯,低楼层(共6层)1998年建板楼  -  迈皋桥,192万单价25478元/平米,https://nj.lianjia.com/xiaoqu/2511053061652/
朗诗国际街区中园  | 2室2厅 | 83平米 | 南 北 | 精装 | 有电梯,高楼层(共18层)2007年建板楼  -  奥体,418万单价50362元/平米,https://nj.lianjia.com/xiaoqu/1411041385061/
郭家山29号  | 2室1厅 | 65.12平米 | 南 | 简装,中楼层(共6层)板楼  -  小市,155万单价23803元/平米,https://nj.lianjia.com/xiaoqu/149816540721640/
明月港湾月亮湾  | 2室2厅 | 87.02平米 | 南 北 | 简装 | 无电梯,低楼层(共5层)2003年建板楼  -  岔路口,225万单价25857元/平米,https://nj.lianjia.com/xiaoqu/2511053853037/
华汇康城  | 4室2厅 | 136.09平米 | 南 北 | 精装 | 有电梯,中楼层(共11层)2009年建板塔结合  -  麒麟镇,225万单价16534元/平米,https://nj.lianjia.com/xiaoqu/2511052540312/
东白菜园  | 2室1厅 | 49.13平米 | 东 西 | 简装 | 有电梯,中楼层(共7层)1991年建板楼  -  五老村,150万单价30532元/平米,https://nj.lianjia.com/xiaoqu/1411000000094/
秦淮教师公寓  | 2室2厅 | 68.16平米 | 南 北 | 精装 | 无电梯,中楼层(共7层)1999年建板楼  -  洪家园,210万单价30810元/平米,https://nj.lianjia.com/xiaoqu/2511051952479/
花开四季  | 3室2厅 | 124.24平米 | 南 北 | 精装 | 有电梯,低楼层(共17层)2003年建板楼  -  龙江,579万单价46604元/平米,https://nj.lianjia.com/xiaoqu/1411000000263/
万达江南明珠  | 4室1厅 | 129.63平米 | 南 北 | 简装 | 无电梯,高楼层(共5层)2003年建板楼  -  月牙湖,385万单价29700元/平米,https://nj.lianjia.com/xiaoqu/1411046530215/
银城花园北片  | 2室1厅 | 50.41平米 | 南 北 | 精装 | 无电梯,中楼层(共7层)1996年建板楼  -  龙江,310万单价61496元/平米,https://nj.lianjia.com/xiaoqu/1411000000783/
健园  | 2室1厅 | 53.8平米 | 南 北 | 简装 | 无电梯,低楼层(共6层)1996年建板楼  -  南苑,166万单价30856元/平米,https://nj.lianjia.com/xiaoqu/1411000000403/
翠屏清华园  | 2室2厅 | 92.55平米 | 南 北 | 精装 | 无电梯,中楼层(共5层)2005年建板楼  -  将军大道,263万单价28418元/平米,https://nj.lianjia.com/xiaoqu/1411049353593/
来凤里  | 2室2厅 | 80.78平米 | 南 北 | 精装 | 无电梯,中楼层(共8层)1997年建板楼  -  来凤里,260万单价32187元/平米,https://nj.lianjia.com/xiaoqu/1411041500069/
丹佛小镇  | 2室2厅 | 65.13平米 | 南 | 其他 | 有电梯,高楼层(共11层)2009年建板楼  -  将军大道,171万单价26256元/平米,https://nj.lianjia.com/xiaoqu/1411050279764/
真园  | 2室1厅 | 54.5平米 | 南 | 精装 | 无电梯,低楼层(共7层)1998年建板楼  -  南苑,170万单价31193元/平米,https://nj.lianjia.com/xiaoqu/1411000000900/
绒庄新村  | 2室1厅 | 54.15平米 | 南 | 毛坯 | 有电梯,低楼层(共7层)1988年建板楼  -  升州路,173万单价31949元/平米,https://nj.lianjia.com/xiaoqu/1411000000561/
水西门大街  | 2室1厅 | 60.36平米 | 南 北 | 简装 | 有电梯,中楼层(共7层)1996年建板楼  -  南湖,176万单价29159元/平米,https://nj.lianjia.com/xiaoqu/1411042956541/
弘阳旭日上城一区  | 3室2厅 | 112.79平米 | 南 北 | 简装 | 有电梯,低楼层(共18层)2007年建塔楼  -  桥北,260万单价23052元/平米,https://nj.lianjia.com/xiaoqu/2511053234687/
御水湾花园  | 2室2厅 | 60.55平米 | 东 南 北 | 简装 | 有电梯,高楼层(共7层)2005年建板塔结合  -  光华路,280万单价46243元/平米,https://nj.lianjia.com/xiaoqu/1411046168785/
翠屏东南  | 5室2厅 | 183.86平米 | 南 北 | 精装 | 无电梯,中楼层(共6层)2005年建板楼  -  将军大道,458万单价24911元/平米,https://nj.lianjia.com/xiaoqu/1411049292642/
万达紫金明珠  | 1室1厅 | 30.24平米 | 西 | 简装 | 有电梯,高楼层(共10层)2006年建板楼  -  月牙湖,78万单价25794元/平米,https://nj.lianjia.com/xiaoqu/1411046463725/
南航揽翠苑  | 3室2厅 | 138.66平米 | 南 | 毛坯 | 有电梯,低楼层(共22层)2005年建板楼  -  将军大道,340万单价24521元/平米,https://nj.lianjia.com/xiaoqu/1411049357588/
南京恒大绿洲  | 4室2厅 | 147.66平米 | 南 北 | 精装 | 有电梯,中楼层(共11层)2009年建板楼  -  九龙湖,398万单价26954元/平米,https://nj.lianjia.com/xiaoqu/2511051684175/
北祖师庵  | 2室1厅 | 50.36平米 | 南 北 | 简装,低楼层(共7层)1985年建板楼  -  建宁路,143万单价28396元/平米,https://nj.lianjia.com/xiaoqu/1411046687795/
东郊小镇第一街区  | 3室2厅 | 97.97平米 | 南 北 | 精装 | 无电梯,中楼层(共6层)2006年建板塔结合  -  麒麟镇,197万单价20109元/平米,https://nj.lianjia.com/xiaoqu/1411100805511/
五塘新村  | 2室1厅 | 50.35平米 | 南 北 | 简装 | 无电梯,高楼层(共6层)1992年建板塔结合  -  五塘广场,124万单价24628元/平米,https://nj.lianjia.com/xiaoqu/1411046698611/
名城世家花园  | 2室2厅 | 80.24平米 | 南 | 其他 | 有电梯,中楼层(共18层)2010年建板楼  -  小行,285万单价35519元/平米,https://nj.lianjia.com/xiaoqu/1411043461305/
北阴阳营  | 3室1厅 | 80.68平米 | 南 北 | 毛坯 | 无电梯,中楼层(共6层)1988年建板楼  -  湖南路,258万单价31979元/平米,https://nj.lianjia.com/xiaoqu/1411041800918/
武夷绿洲品茗苑  | 2室2厅 | 86.1平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2009年建板楼  -  科学园,240万单价27875元/平米,https://nj.lianjia.com/xiaoqu/2511051361657/
明月港湾旭日湾  | 2室2厅 | 88.33平米 | 南 北 | 简装 | 无电梯,低楼层(共6层)2005年建板楼  -  岔路口,232万单价26266元/平米,https://nj.lianjia.com/xiaoqu/1420023315880223/
中山门小区  | 2室1厅 | 65.39平米 | 南 | 精装 | 无电梯,中楼层(共6层)1986年建板塔结合  -  瑞金路,196万单价29975元/平米,https://nj.lianjia.com/xiaoqu/1411046309896/
